,L1,L2
1992-03-13,1.558880463722357e-06,2.2949945662373004e-05
1992-03-16,1.2065917194008496e-06,1.9678334116075664e-05
1992-03-17,1.9172471181599707e-06,2.6971272199059133e-05
1992-03-18,1.64753963542438e-06,2.5430250927875736e-05
1992-03-19,1.426999651916722e-06,2.4101202642813403e-05
1992-03-20,1.426999651916722e-06,2.4101202642813403e-05
1992-03-23,1.3120042228863359e-06,2.2589916407465727e-05
1992-03-24,1.7887759177731398e-06,2.750282395767069e-05
1992-03-25,1.7893615075566544e-06,2.750294695180502e-05
1992-03-26,1.7920912047725303e-06,2.750525720886095e-05
1992-03-27,1.4723106715510874e-06,2.528787174123847e-05
1992-03-30,2.039830969981206e-06,2.959143643561608e-05
1992-03-31,2.039675462283653e-06,2.9585147135050748e-05
1992-04-01,2.100841450822792e-06,2.9755063634337666e-05
1992-04-02,2.311579206076788e-06,3.102905762070535e-05
1992-04-03,2.314887675420617e-06,3.1042682274186175e-05
1992-04-06,2.6605442323048532e-06,3.562816591334238e-05
1992-04-07,2.4898232929429248e-06,3.4962276210758545e-05
1992-04-08,2.4552530360128545e-06,3.4901172802686375e-05
1992-04-09,2.4552530360128545e-06,3.4901172802686375e-05
1992-04-10,2.4552530360128545e-06,3.4901172802686375e-05
1992-04-13,1.959245608715931e-06,3.1388779555196815e-05
1992-04-14,1.9838441945575984e-06,3.143013342063034e-05
1992-04-15,1.5554660888574828e-06,2.489377165801772e-05
1992-04-16,1.5308890010960144e-06,2.484037922296627e-05
1992-04-20,1.5308890010960144e-06,2.484037922296627e-05
1992-04-21,1.5282186611319862e-06,2.4728383776988427e-05
1992-04-22,1.085698501108257e-06,2.023979009833073e-05
1992-04-23,1.0783595700584573e-06,2.0086291486905353e-05
1992-04-24,6.68912524293454e-07,1.3200405035389897e-05
1992-04-27,6.67501033665049e-07,1.319229046440893e-05
1992-04-28,6.465550833036881e-07,1.308148316201665e-05
1992-04-29,9.455399489839475e-07,2.0597611038798904e-05
1992-04-30,9.455399489839475e-07,2.0597611038798904e-05
1992-05-01,2.64090488417273e-06,4.35415973496204e-05
1992-05-04,3.1570735608247154e-06,4.889295020751331e-05
1992-05-05,4.143168211462484e-06,5.530211051120257e-05
1992-05-06,3.125702346637311e-06,4.4272542309220905e-05
1992-05-07,1.4558761367919787e-06,2.8058953670418234e-05
1992-05-08,1.2471309594933777e-06,2.671978520505411e-05
1992-05-11,1.1297707601977962e-06,2.622134358364656e-05
1992-05-12,1.1152169320985296e-06,2.617911051028016e-05
1992-05-13,1.1109530758364026e-06,2.617712115212611e-05
1992-05-14,1.0979238288560695e-06,2.615818507972347e-05
1992-05-15,1.0979238288560695e-06,2.615818507972347e-05
1992-05-18,1.2159478951028445e-06,2.6669843789287876e-05
1992-05-19,1.2164328790765371e-06,2.6669960180239186e-05
1992-05-20,1.2164328790765371e-06,2.6669960180239186e-05
1992-05-21,1.0987917019182613e-06,2.6158423624353017e-05
1992-05-22,1.1164370436142393e-06,2.6186330086467115e-05
1992-05-26,1.1160503482058221e-06,2.618618628974824e-05
1992-05-27,1.147751755461308e-06,2.6295848803076008e-05
1992-05-28,1.147751755461308e-06,2.6295848803076008e-05
