,L1,L2
2017-05-04,9.711799155356514e-07,1.4205713427378477e-05
2017-05-05,1.110896958264021e-06,1.5869440762266295e-05
2017-05-08,1.1035643488348227e-06,1.585107929724132e-05
2017-05-09,9.10172305847373e-07,1.3763569603922065e-05
2017-05-10,1.0488876664175842e-06,1.4962379190097214e-05
2017-05-11,9.889741042569801e-07,1.4422976636160758e-05
2017-05-12,9.871868604689213e-07,1.4421202156768177e-05
2017-05-15,1.0173359655383624e-06,1.4811361559885554e-05
2017-05-16,9.115269510500289e-07,1.3625757219220121e-05
2017-05-17,9.487752397986648e-07,1.3801090235698098e-05
2017-05-18,9.741786175852796e-07,1.3883945538923982e-05
2017-05-19,1.025640725124801e-06,1.4385946760305123e-05
2017-05-22,1.208386644815177e-06,1.5628258243482025e-05
2017-05-23,1.2987417540334807e-06,1.606689244720235e-05
2017-05-24,1.3464423697831423e-06,1.634334076833267e-05
2017-05-25,1.6094060950327818e-06,1.8784919898650175e-05
2017-05-26,1.4878135958506477e-06,1.8106673400435917e-05
2017-05-30,1.5918756561634237e-06,1.8545648138895503e-05
2017-05-31,1.5914378110080692e-06,1.8544497344647874e-05
2017-06-01,1.5821522418292645e-06,1.8528379734256507e-05
2017-06-02,1.6501614060599025e-06,1.884501030745386e-05
2017-06-05,1.5944255423640527e-06,1.8626651059694967e-05
2017-06-06,1.6366981428020697e-06,1.8887563076265346e-05
2017-06-07,1.4956368238085514e-06,1.8246115436436283e-05
2017-06-08,1.3884779355637386e-06,1.733440075566317e-05
2017-06-09,1.3884779355637386e-06,1.733440075566317e-05
2017-06-12,1.7805954402913437e-06,2.2845539278697055e-05
2017-06-13,1.675131421515628e-06,2.246542323017147e-05
2017-06-14,1.6751310179121632e-06,2.2465423229993196e-05
2017-06-15,1.8683450046405502e-06,2.351747315412294e-05
2017-06-16,1.8933503403386465e-06,2.3573297526563553e-05
2017-06-19,1.914443184954926e-06,2.3673454972642838e-05
2017-06-20,1.9225899020242607e-06,2.3686229503140132e-05
2017-06-21,1.923161780256482e-06,2.3686426082790215e-05
2017-06-22,1.8532107741050611e-06,2.318289965108609e-05
2017-06-23,1.4479909649891625e-06,1.7836587193470483e-05
2017-06-26,1.4446066294995302e-06,1.7832992188592673e-05
2017-06-27,1.444808536164007e-06,1.7833046541318217e-05
2017-06-28,1.444808536164007e-06,1.7833046541318217e-05
2017-06-29,1.494412865194017e-06,1.8190223884349665e-05
2017-06-30,1.4825674750644553e-06,1.816623704412353e-05
2017-07-03,1.4807800670209275e-06,1.8164864265620406e-05
2017-07-05,1.434495451064412e-06,1.798222646790082e-05
2017-07-06,1.434495451064412e-06,1.798222646790082e-05
2017-07-07,1.9747037084103216e-06,2.538070194577829e-05
2017-07-10,2.0642318786823772e-06,2.57545742814695e-05
2017-07-11,2.1130603396472725e-06,2.5947670184887943e-05
2017-07-12,1.750007277216501e-06,2.0481387198295957e-05
2017-07-13,1.658939824509867e-06,1.997187594171348e-05
2017-07-14,1.4819397683560838e-06,1.8074763427214186e-05
2017-07-17,1.5008515249131388e-06,1.8125822576123488e-05
2017-07-18,1.5008515249131388e-06,1.8125822576123488e-05
2017-07-19,1.5399763816984194e-06,1.8526622356218652e-05
2017-07-20,1.4204535528951758e-06,1.764264448386789e-05
2017-07-21,1.3884116791175381e-06,1.7535150617170084e-05
2017-07-24,1.3924124167998667e-06,1.7539289295143596e-05
2017-07-25,1.3877590120643697e-06,1.7533265386108427e-05
2017-07-26,1.3550043532596765e-06,1.7452460137550426e-05
2017-07-27,1.3470984177328813e-06,1.7439032176782472e-05
2017-07-28,1.3712954513153563e-06,1.766276517172856e-05
2017-07-31,1.536270964555259e-06,1.949675717048388e-05
2017-08-01,1.529511463780652e-06,1.9365917967010584e-05
2017-08-02,2.5648812110590635e-06,3.202049286272297e-05
2017-08-03,2.3591444753930225e-06,3.0887651363378176e-05
2017-08-04,1.7280415929045297e-06,2.1202013675665145e-05
2017-08-07,1.599864724243165e-06,1.9754548312643855e-05
2017-08-08,1.4507799401743823e-06,1.8616943400963258e-05
2017-08-09,1.4469795518008812e-06,1.8612677564274267e-05
2017-08-10,1.4645722107101117e-06,1.8662270692019068e-05
2017-08-11,1.442527778292535e-06,1.860306152817922e-05
2017-08-14,1.3421768699960687e-06,1.8023994767463745e-05
2017-08-15,1.2586820096436648e-06,1.7468630228299946e-05
2017-08-16,1.3022650371916384e-06,1.7611774871035525e-05
2017-08-17,1.524017425064918e-06,1.8883293731344605e-05
2017-08-18,1.1691612228320806e-06,1.5733065150163947e-05
2017-08-21,1.45368862256534e-06,1.9964453981031347e-05
2017-08-22,1.6228021859587165e-06,2.113499873187152e-05
2017-08-23,1.742544804822822e-06,2.2021124556758555e-05
2017-08-24,1.7105930900142165e-06,2.1736410664310442e-05
2017-08-25,1.7448946144243914e-06,2.1878281339016933e-05
2017-08-28,1.4062138373031335e-06,1.7794986374605942e-05
2017-08-29,1.4553868630150399e-06,1.81670583523681e-05
2017-08-30,1.4557882625322163e-06,1.817381074314762e-05
2017-08-31,1.5040070385972644e-06,1.836215597893343e-05
2017-09-01,1.4172887074121023e-06,1.7544081823991244e-05
2017-09-05,1.473920638588039e-06,1.778611656501566e-05
2017-09-06,1.436195442691551e-06,1.7475737310755552e-05
2017-09-07,1.3212429601270663e-06,1.6237612245827547e-05
2017-09-08,1.5374624684972982e-06,1.8922868520880418e-05
2017-09-11,1.5374624684972982e-06,1.8922868520880418e-05
2017-09-12,1.6071474568064897e-06,1.9614676089599055e-05
2017-09-13,1.7003009670126988e-06,2.0208799883209836e-05
2017-09-14,1.6265141593008443e-06,1.928869793538489e-05
2017-09-15,1.4600459213195873e-06,1.8010849946119815e-05
2017-09-18,1.4600459213195873e-06,1.8010849946119815e-05
2017-09-19,1.4533202725416646e-06,1.7966032152345653e-05
2017-09-20,1.453530837349811e-06,1.798243046839056e-05
2017-09-21,1.3367417894261246e-06,1.7227916766439303e-05
2017-09-22,1.313321339090508e-06,1.7132305643058237e-05
2017-09-25,1.313321339090508e-06,1.7132305643058237e-05
2017-09-26,1.4529078260720597e-06,1.874387458838626e-05
2017-09-27,1.574517850124778e-06,2.095539135782694e-05
2017-09-28,1.4110242638488885e-06,1.9354825468870668e-05
2017-09-29,1.4304796996136754e-06,1.94879273210932e-05
2017-10-02,1.4039382219134383e-06,1.9398048329618342e-05
2017-10-03,1.411560173848746e-06,1.9405367667914765e-05
2017-10-04,1.3328590798696793e-06,1.9038986297776737e-05
2017-10-05,1.3788204800886657e-06,1.9137817613889234e-05
2017-10-06,1.3556355078142711e-06,1.905950362428378e-05
2017-10-09,1.59732609605215e-06,2.0949315285948383e-05
2017-10-10,1.5949506853579296e-06,2.105136568795151e-05
2017-10-11,1.5949506853579296e-06,2.105136568795151e-05
2017-10-12,1.7173538708152796e-06,2.277791333191474e-05
2017-10-13,1.7426275419924127e-06,2.286280330953197e-05
2017-10-16,1.7116910188037497e-06,2.264251570700329e-05
2017-10-17,1.736397620294877e-06,2.2699341624559063e-05
2017-10-18,1.870836982209562e-06,2.3613830215602028e-05
2017-10-19,1.6727166049531174e-06,2.180400008853565e-05
2017-10-20,1.4784603340977976e-06,1.9541705723014005e-05
2017-10-23,1.47305247922777e-06,1.953498229662748e-05
2017-10-24,1.6802804792150882e-06,2.0540555748819655e-05
2017-10-25,1.7716491704175688e-06,2.0985095271987768e-05
2017-10-26,1.8182638649393219e-06,2.1149616310990395e-05
2017-10-27,1.7816811255982283e-06,2.102285157250886e-05
2017-10-30,1.7816811255982283e-06,2.102285157250886e-05
2017-10-31,1.7816811255982283e-06,2.102285157250886e-05
2017-11-01,2.242599335358709e-06,2.4898807691834118e-05
2017-11-02,2.6390482198337152e-06,2.987792269026449e-05
2017-11-03,2.8661407640458025e-06,3.1785313793020615e-05
2017-11-06,3.1224177761784597e-06,3.33647338808182e-05
2017-11-07,3.4496628860042708e-06,3.505300815127773e-05
2017-11-08,3.4496628860042708e-06,3.505300815127773e-05
2017-11-09,3.2197185720993048e-06,3.3581178364458934e-05
2017-11-10,3.381793402866594e-06,3.4463527798947876e-05
2017-11-13,3.2590408279017005e-06,3.371369950681008e-05
2017-11-14,3.5274360674817987e-06,3.712064723236835e-05
2017-11-15,3.5122660049766973e-06,3.710694134836434e-05
2017-11-16,3.4500647239241835e-06,3.699045765290712e-05
2017-11-17,3.4500647239241835e-06,3.699045765290712e-05
2017-11-20,3.4500647239241835e-06,3.699045765290712e-05
2017-11-21,3.414919653127799e-06,3.694781938292767e-05
2017-11-22,3.4958165456924882e-06,3.746206769668982e-05
2017-11-24,3.1767060296158397e-06,3.55314206325489e-05
2017-11-27,3.0512619489660893e-06,3.5041457628044704e-05
2017-11-28,3.4077544069318042e-06,3.700799234553962e-05
2017-11-29,3.4077544069318042e-06,3.700799234553962e-05
2017-11-30,3.4094098718446035e-06,3.701107687612485e-05
2017-12-01,3.5429587805139243e-06,3.770954802112431e-05
2017-12-04,3.515609600561256e-06,3.7662672051224776e-05
2017-12-05,3.833205749546524e-06,3.930818484675544e-05
2017-12-06,3.779238018278272e-06,3.8973471347586674e-05
2017-12-07,2.8558774248098494e-06,2.9853369804004876e-05
2017-12-08,2.3807653352681726e-06,2.6792811502751963e-05
2017-12-11,2.374585521614806e-06,2.6746154893334444e-05
2017-12-12,2.2289194470348383e-06,2.5579264937446758e-05
2017-12-13,2.234085178767017e-06,2.5587332773540393e-05
2017-12-14,2.2376929554287017e-06,2.559008242026676e-05
2017-12-15,2.242433412960983e-06,2.5594128040234942e-05
2017-12-18,1.956048159507739e-06,2.2926729699358663e-05
2017-12-19,2.3273834035895375e-06,2.524081379270697e-05
2017-12-20,2.579697776611614e-06,2.7777367649420434e-05
2017-12-21,2.598970442133523e-06,2.7903036842581995e-05
2017-12-22,2.130504353960361e-06,2.4505186730935683e-05
2017-12-26,2.001592043335622e-06,2.3620762291704498e-05
2017-12-27,2.001798211294961e-06,2.3605015789312463e-05
2017-12-28,2.0364294883925895e-06,2.379540914275508e-05
2017-12-29,2.089721201315164e-06,2.3937454252360605e-05
2018-01-02,1.8696405407808692e-06,2.1580396389039126e-05
2018-01-03,1.955865144398872e-06,2.200743039911745e-05
2018-01-04,1.8678680011401139e-06,2.1666479936919287e-05
2018-01-05,1.649690097117713e-06,2.00209786441604e-05
2018-01-08,1.5090879453485226e-06,1.9299634294419607e-05
2018-01-09,1.54796226589393e-06,1.9402949428014026e-05
2018-01-10,1.4423302847769307e-06,1.888420528144783e-05
2018-01-11,1.4486971845710617e-06,1.9059670802555038e-05
2018-01-12,1.5843189264780985e-06,1.9986444759410925e-05
2018-01-16,1.5784267461007646e-06,1.997911277215806e-05
2018-01-17,1.6454954975919727e-06,2.027426481920914e-05
2018-01-18,1.7066134036767936e-06,2.044931190086856e-05
2018-01-19,1.7066134036767936e-06,2.044931190086856e-05
2018-01-22,1.6728782933801416e-06,1.9411068898082593e-05
2018-01-23,1.5576635931811883e-06,1.8177130056045295e-05
2018-01-24,2.202412892100313e-06,2.7621944853519577e-05
2018-01-25,2.4597757780429604e-06,2.987846246667918e-05
2018-01-26,2.6823584299762065e-06,3.1325551916219916e-05
2018-01-29,2.7652624091284673e-06,3.161720117345863e-05
